date,P,T,E,Qls,Qmm
01/01/2004 00:00,0,NA,0,5170,0.020230435
01/01/2004 01:00,0,NA,0,5156,0.020175652
01/01/2004 02:00,0,NA,0,5143,0.020124783
01/01/2004 03:00,0,NA,0,5130,0.020073913
01/01/2004 04:00,0,NA,0,5116,0.02001913
01/01/2004 05:00,0,NA,0,5103,0.019968261
01/01/2004 06:00,0,NA,0,5089,0.019913478
01/01/2004 07:00,0,NA,0.01,5076,0.019862609
01/01/2004 08:00,0,NA,0.02,5062,0.019807826
01/01/2004 09:00,0,NA,0.02,5049,0.019756957
01/01/2004 10:00,0,NA,0.03,4840,0.01893913
01/01/2004 11:00,0,NA,0.03,4796,0.018766957
01/01/2004 12:00,0,NA,0.04,5129,0.02007
01/01/2004 13:00,0,NA,0.04,5121,0.020038696
01/01/2004 14:00,0,NA,0.03,5098,0.019948696
01/01/2004 15:00,0,NA,0.03,5074,0.019854783
01/01/2004 16:00,0,NA,0.02,5051,0.019764783
01/01/2004 17:00,0,NA,0.02,5019,0.019639565
01/01/2004 18:00,0,NA,0.01,4667,0.018262174
01/01/2004 19:00,0,NA,0,4897,0.019162174
01/01/2004 20:00,0,NA,0,5151,0.020156087
01/01/2004 21:00,0,NA,0,5145,0.020132609
01/01/2004 22:00,0,NA,0,5134,0.020089565
01/01/2004 23:00,0,NA,0,5123,0.020046522
02/01/2004 00:00,0,NA,0,5112,0.020003478
02/01/2004 01:00,0,NA,0,5100,0.019956522
02/01/2004 02:00,0,NA,0,5089,0.019913478
02/01/2004 03:00,0,NA,0,5078,0.019870435
02/01/2004 04:00,0,NA,0,5067,0.019827391
02/01/2004 05:00,0,NA,0,5056,0.019784348
02/01/2004 06:00,0,NA,0,5045,0.019741304
02/01/2004 07:00,0,NA,0.01,5033,0.019694348
02/01/2004 08:00,0,NA,0.02,5022,0.019651304
02/01/2004 09:00,0.13,NA,0.03,4963,0.019420435
02/01/2004 10:00,0.16,NA,0.04,4490,0.017569565
02/01/2004 11:00,0.2,NA,0.04,4606,0.018023478
02/01/2004 12:00,0.3,NA,0.05,5075,0.019858696
02/01/2004 13:00,0.37,NA,0.05,5105,0.019976087
02/01/2004 14:00,0.15,NA,0.04,5109,0.019991739
02/01/2004 15:00,0.04,NA,0.04,5113,0.020007391
02/01/2004 16:00,0.85,NA,0.03,5118,0.020026957
02/01/2004 17:00,1.14,NA,0.02,5002,0.019573043
02/01/2004 18:00,0.9,NA,0.01,5075,0.019858696
02/01/2004 19:00,1.56,NA,0,5292,0.020707826
02/01/2004 20:00,2.32,NA,0,5393,0.021103043
02/01/2004 21:00,1.59,NA,0,5495,0.021502174
02/01/2004 22:00,1.74,NA,0,5596,0.021897391
02/01/2004 23:00,2.23,NA,0,5725,0.022402174
03/01/2004 00:00,2.79,NA,0,5818,0.022766087
